ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A83C141N101,CC(C)=CC1=N/C(=C\c2cc(C)c(O)c(C)c2)C(=O)N1CCO,198.79937,73.13000000000001,4,2.549140000000001,314.38500000000005,2,4,91.22260000000004,23,23,2,18,5
A113C141N247,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1C(=O)CN,163.61756,95.99,3,1.7337199999999995,313.3570000000001,2,5,88.59420000000003,23,23,2,17,6
A113C141N240,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1C1CCN(C)CC1,183.56635999999995,56.14000000000001,3,3.342620000000002,353.4660000000002,1,4,105.05180000000006,26,26,3,21,5
A113C141N247,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1CC(N)=O,163.61756,95.99000000000001,4,1.7337199999999995,313.3570000000001,2,4,88.59420000000003,23,23,2,17,6
A113C141N282,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1CC(O)CO,170.16661999999997,93.36000000000001,5,1.6016199999999994,330.38400000000007,3,5,92.49240000000005,24,24,2,18,6
A113C141N660,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1CC1CCOC1,167.38778,62.13000000000001,4,3.2849200000000014,340.4230000000002,1,4,98.32580000000004,25,25,3,20,5
A113C141N101,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1CCO,140.86595999999997,73.13000000000001,4,2.24072,300.35800000000006,2,4,86.48560000000003,22,22,2,17,5
A113C141N76,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1cc(C)n[nH]1,157.44298,81.58000000000001,3,3.484540000000001,336.39500000000004,2,4,98.49750000000003,25,25,3,19,6
A113C141N417,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1cc(Cl)nc(Cl)n1,194.76482,78.68,3,4.549820000000003,403.26900000000006,1,5,107.22480000000003,27,27,3,19,8
A113C141N261,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1ccc(C)c(O)c1,169.41861999999998,73.13000000000001,3,4.4670400000000035,362.4290000000001,2,4,108.01660000000003,27,27,3,22,5
A113C141N116,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1ccc(C)cc1F,170.33448,52.900000000000006,3,4.900540000000004,364.4200000000001,1,3,106.30980000000004,27,27,3,22,5
A113C141N313,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1ccc(CC#N)cc1,173.56367999999998,76.69,4,4.5191000000000034,371.4400000000001,1,4,110.93180000000002,28,28,3,23,5
A113C141N277,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1ccc(Cl)nn1,172.36032,78.68,3,3.8964200000000027,368.82400000000007,1,5,102.21480000000003,26,26,3,19,7
A113C141N112,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)N1c1ccc2[nH]c(=O)[nH]c2c1,181.3777,101.54999999999998,3,3.6226200000000013,388.4270000000001,3,4,114.09220000000003,29,29,4,22,7
