ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL10;C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1;2000.0;;2000.0;
CHEMBL100091;CCCCOCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12;;60.0;;60.0
CHEMBL100092;CCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12;;60.0;;60.0
CHEMBL100156;CS(=O)(=O)c1ccc(-c2cscc2-c2ccccc2)cc1;;4000.0;;4000.0
CHEMBL100250;CS(=O)(=O)c1ccc(-c2ccsc2-c2ccccc2)cc1;;4000.0;;4000.0
CHEMBL100331;CCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12;;40.0;;40.0
CHEMBL100422;COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1F;;30.0;;30.0
CHEMBL101;CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O;3000.0;284000.0;3000.0;284000.0
CHEMBL101459;CS(=O)(=O)c1ccc(-c2cc(CC#N)sc2-c2ccc(F)cc2)cc1;;49000.0;;49000.0
CHEMBL101503;CS(=O)(=O)c1ccc(-c2ccccc2-c2ccccc2)cc1;;11000.0;;11000.0
CHEMBL102223;[N-]=[N+]=Nc1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1;159720.0;196.0;159720.0;196.0
CHEMBL1034;O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+];3.5;820.0;3.5;720.1625
CHEMBL104;Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1;;41796.0;;41796.0
CHEMBL104009;CCOc1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1;;14.0;;14.0
CHEMBL104147;CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2)c1;;320.0;;320.0
CHEMBL104336;C/C=C/c1cncc(-c2ccc(C(C)C(=O)O)cc2)c1;;670.0;;670.0
CHEMBL104422;Cc1cc(C)cc(-c2ccc(C(C)C(=O)O)cc2F)c1;;19000.0;;19000.0
CHEMBL104502;Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N=[N+]=[N-])cc2)cc1;;1550.0;;1550.0
CHEMBL104592;CC(C(=O)O)c1ccc(-c2ccc3[nH]ccc3c2)cc1;;190.0;;190.0
CHEMBL105766;Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1;;511.43;;511.43
CHEMBL106023;NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1;;339.41999999999996;;339.41999999999996
CHEMBL106151;COc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cn1;49000.0;1201.13;49000.0;1201.13
CHEMBL106192;CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2nccc3ccccc23)cc1;;1699.12;;1699.12
CHEMBL106203;CCc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1;;2400.0;;2400.0
CHEMBL106255;CC1(C)OC(=O)C(Oc2ccncc2)=C1c1ccc(S(C)(=O)=O)cc1;;270.0;;270.0
CHEMBL106302;CC1(C)OC(=O)C(Oc2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1;;40.0;;40.0
CHEMBL106445;Cc1cc2cc(-c3ccc(C(C)C(=O)O)cc3)ccc2[nH]1;;230.0;;230.0
CHEMBL106828;C=Cc1cncc(-c2ccc(C(C)C(=O)O)cc2)c1;;190.0;;190.0
CHEMBL107088;Cc1ccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)cc1;;20.0;;20.0
CHEMBL1071;O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1;2200.0;18055.0;2200.0;18055.0
CHEMBL107600;CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccn2)cc1;;1506.78;;1506.78
CHEMBL1076742;O=C(Nc1ccc(-c2ccccc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1;;92600.0;;92600.0
CHEMBL1076751;Cc1cccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)c1C;;94700.0;;94700.0
CHEMBL1077;Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1;;4.803;;4.803
CHEMBL107706;CC1(C)OC(=O)C(Oc2ccc(F)cn2)=C1c1ccc(S(C)(=O)=O)cc1;;40.0;;40.0
CHEMBL1079335;O=S(=O)(Nc1ccncc1Nc1cccc(Br)c1)C(F)(F)F;910.0;120.0;910.0;120.0
CHEMBL107938;CCSc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1;;330.0;;330.0
CHEMBL107953;CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2F)c1;;100.0;;100.0
CHEMBL108201;COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1;9900.0;5.0;8680.0;4.5024
CHEMBL1082015;O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)nc1)C1=C(O)c2ccccc2S(=O)(=O)N1;;33700.0;;33700.0
CHEMBL108299;C=CCc1ccc(OC(C)=O)c(OC)c1;3000.0;;3000.0;
CHEMBL1084;CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2O)cc1;;8700.0;;8700.0
CHEMBL108452;NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1;;438.26;;438.26
CHEMBL108512;CC1(C)OC(=O)C(Oc2ccc3sccc3c2)=C1c1ccc(S(C)(=O)=O)cc1;;20.0;;20.0
CHEMBL1086610;O=C(Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1;489000.0;467000.0;489000.0;467000.0
CHEMBL1086611;O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1;;33700.0;;33700.0
CHEMBL1086612;O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1;;70000.0;;70000.0
