ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A31C141N76,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3cc(C)n[nH]3)C2=O)cc1,166.24308000000002,0.6662,none,87.65,4,3.2571200000000013,364.4050000000001,1,5,103.43520000000002,27,27,3,20,7,0.7510563000628315,True,6.12984727686988,5.289351498942528,741.5709748216342,5136.277754716197,6.926211959619369,6.970343054797231
A29C141N261,CC(C)=CC1=N/C(=C\c2cccs2)C(=O)N1c1ccc(C)c(O)c1,180.09068999999997,0.837,Lipinski,52.900000000000006,3,4.514520000000004,338.4320000000001,1,4,99.49180000000004,24,24,3,19,5,1.549192799230772,True,6.263964279234758,5.258446823285006,544.547440082768,5515.0972725574675,10.127854557022992,7.26948173518451
A31C77N76,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(c3cc(C)n[nH]3)C2=O)cc1,191.34275,0.6433,none,90.89,5,1.8525199999999995,367.4090000000001,1,6,102.55820000000004,27,27,3,19,8,1.3542274994318475,True,5.923352791496458,5.014952460073235,1193.0185830334008,9661.566332733286,8.098420653404686,6.8317531229196815
A31C141N313,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc(CC#N)cc3)C2=O)cc1,182.36378,0.5546,Lipinski,82.75999999999999,5,4.291680000000003,399.45000000000016,0,5,115.86950000000002,30,30,3,24,6,1.1780546861741152,True,6.124765721173644,4.792128859718349,750.298846594235,16138.796308005947,21.509824227057464,7.45740258262894
A36C141N247,CC(C)=CC1=N/C(=C\c2cccc(Oc3ccccc3)c2)C(=O)N1C(=O)CN,188.08572,0.8106,none,84.99,5,3.5120000000000022,375.42800000000017,1,5,108.70840000000004,28,28,3,22,6,0.7393931908898136,True,6.85071206701657,5.272843086059909,141.02234528768884,5335.276283075143,37.83284324332471,8.42858104797323
A67C141N247,CC(C)=CC1=N/C(=C\c2ccc(C)c(C)c2)C(=O)N1C(=O)CN,158.62594,0.8705,none,75.76,3,2.33654,311.3850000000001,1,4,91.66640000000004,23,23,2,18,5,2.187766509005197,True,5.698866272839025,4.786068826034019,2000.477758251455,16365.571428999954,8.180831484627205,6.611663719644031
A34C141N277,CC(C)=CC1=N/C(=C\c2cccc(C(F)(F)F)c2)C(=O)N1c1ccc(Cl)nn1,185.74248,0.681,Lipinski,58.45,3,4.901200000000003,406.7950000000001,0,4,100.815,28,28,3,19,9,1.3566941182312595,True,5.954588295399838,5.177976044582854,1110.2267947626012,6637.796830721676,5.978775563727076,6.731200546216822
A67C561N101,Cc1ccc(/C=C2\N=C(c3ccc(F)cc3Br)N(CCO)C2=O)cc1C,190.56466,0.7695,none,52.9,4,3.8272400000000024,417.2780000000002,1,3,103.32880000000004,26,26,3,20,6,1.1315230853531588,True,6.724064963769499,5.075344239174631,188.7708955773253,8407.28482452185,44.53697588714367,8.372785688364367
A31C362N76,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3cc(C)n[nH]3)C2=O)cc1,196.0787,0.514,none,87.65,4,3.617420000000002,422.39100000000013,1,5,109.4642,31,31,4,22,9,0.9908428734789064,True,6.361152142804301,5.23640797291979,435.3593311234926,5802.191080324129,13.327361252028153,7.485896312688813
A67C141N112,CC(C)=CC1=N/C(=C\c2ccc(C)c(C)c2)C(=O)N1c1ccc2[nH]c(=O)[nH]c2c1,176.38608,0.6608,Lipinski,81.32,3,4.2254400000000025,386.4550000000001,2,3,117.16440000000004,29,29,4,23,6,1.4084466693914492,True,7.376368617684624,5.245983170734147,42.036967824185645,5675.665986516343,135.01606515137118,9.5067540646351
A29C362N101,O=C1/C(=C/c2cccs2)N=C(c2cc(F)cc(F)c2)N1CCO,181.37364999999997,0.8742,none,52.900000000000006,4,2.6485000000000016,334.3470000000001,1,4,83.98980000000002,23,23,3,16,7,1.7404081806093337,True,5.925030885506961,4.969480471214345,1188.4177083143393,10728.018871016176,9.027144913746598,6.8805812997995766
A31C362N79,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3nncs3)C2=O)cc1,197.92467999999997,0.4714,none,84.75,4,3.437400000000002,426.4040000000001,0,7,106.0485,30,30,4,20,10,1.3950823566906687,True,6.250512839086813,4.233640694803306,561.6776731826417,58392.800610486745,103.96140597794256,8.26738498337032
A31C141N247,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(CC(N)=O)C2=O)cc1,172.41766,0.6475,none,102.06,5,1.5062999999999998,341.3670000000001,1,5,93.5319,25,25,2,18,7,2.0480943869396735,True,5.901387030278504,4.797103430593657,1254.9111258954215,15954.991215155756,12.714040768242713,7.005670629963351
A67C362N76,Cc1cc(N2C(=O)/C(=C/c3ccc(C)c(C)c3)N=C2c2cc(F)cc(F)c2)[nH]n1,182.28698,0.6698,Lipinski,61.35,3,4.4476600000000035,392.4090000000001,1,3,107.59870000000002,29,29,4,22,7,1.2312504157207549,True,6.824513627858348,5.939854558212691,149.79122488643557,1148.5381934558443,7.667593307462504,7.709172697504005
A31C141N240,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(C3CCN(C)CC3)C2=O)cc1,192.36646,0.5939,none,62.21,4,3.1152000000000015,381.4760000000002,0,5,109.98950000000004,28,28,3,22,6,1.1666561492905396,True,5.904320713611505,4.441033981570487,1246.4626985033829,36221.46556563712,29.05940595665472,7.367607445652523
