ID,Catalog_ID,SMILES,PriceG,PriceMol,MW,HAcp,HDon,RotBnd,HvyAtm,Rings,HetAtm,tPSA,LogP
A3,EN300-07658,O=Cc1ccc(N2CCCCC2)cc1,4.5,851.661,189.25799999999998,2,0,2,14,2,2,20.310000000000002,2.4894000000000007
A7,EN300-13716,COc1ccc(C)cc1C=O,16.1,2417.8497,150.177,2,0,2,11,1,2,26.3,1.81612
A14,EN300-25759,Cc1nn(C)c(Cl)c1C=O,4.86,770.7376800000001,158.588,2,0,1,10,1,4,34.89,1.1944199999999998
A28,EN300-07553,O=Cc1cc2ccccc2nc1O,30.6,5299.0326,173.17099999999996,3,1,1,13,2,3,50.19,1.7529
A29,EN300-18990,O=Cc1cccs1,0.69,77.38556999999999,112.15299999999999,2,0,1,7,1,2,45.31,1.5606
A30,EN300-55086,O=Cc1cccc(F)c1O,5.52,773.4237599999999,140.113,2,1,1,10,1,3,37.3,1.3437999999999999
A31,EN300-15457,COC(=O)c1ccc(C=O)cc1,0.46,75.5136,164.16,3,0,2,12,1,3,43.370000000000005,1.2856999999999998
A32,EN300-01026,O=Cc1ccc(N2CCOCC2)cc1,4.4,841.412,191.23,3,0,2,14,2,3,29.540000000000003,1.3357
A34,EN300-21347,O=Cc1cccc(C(F)(F)F)c1,0.46,80.09566,174.12099999999998,1,0,1,12,1,4,17.07,2.517900000000001
A35,EN300-18119,O=Cc1cc(Br)c(O)c(Br)c1,0.46,128.7609,279.91499999999996,2,1,1,11,1,4,37.3,2.7297000000000002
A42,EN300-01173,Cc1cc(C=O)c(C)n1-c1ccccc1,11.3,2251.5589000000004,199.25300000000001,1,0,2,15,2,2,22.0,2.9066400000000012
A46,EN300-19768,CCCCCCCC=O,0.46,58.9789,128.215,1,0,6,9,0,1,17.07,2.5458000000000007
A52,EN300-01132,COc1ccc2cc(C=O)c(Cl)nc2c1,16.5,3657.1094999999996,221.64299999999997,3,0,2,15,2,4,39.19,2.7093000000000007
A57,EN300-04092,CC(C)Oc1ccccc1C=O,9.4,1543.5176,164.20399999999998,2,0,3,12,1,2,26.3,2.2863000000000007
A67,EN300-22064,Cc1ccc(C=O)cc1C,0.46,61.72188,134.178,1,0,1,10,1,1,17.07,2.11594
A72,EN300-01171,COc1cc(C=O)ccc1OC(F)F,6.2,1253.3671999999997,202.15599999999995,3,0,4,14,1,5,35.53,2.1090999999999998
A75,EN300-33498,CCCCCC=O,0.46,46.074059999999996,100.16099999999999,1,0,4,7,0,1,17.07,1.7656
A83,EN300-17665,Cc1cc(C=O)cc(C)c1O,0.83,124.64690999999999,150.177,2,1,1,11,1,2,37.3,1.8215399999999997
A86,EN300-05384,COCCn1c(C)cc(C=O)c1C,39.2,7104.412,181.23499999999999,2,0,4,13,1,3,31.23,1.5638400000000001
A88,EN300-06840,CCCn1c(C)cc(C=O)c1C,36.6,6047.637599999999,165.23599999999996,1,0,3,12,1,2,22.0,2.32744
A89,EN300-07215,O=Cc1sc(Cl)nc1Cl,8.2,1492.6542,182.031,3,0,1,9,1,5,58.2,2.2624000000000004
A97,EN300-21022,COc1cc(C=O)cc(OC)c1,0.46,76.44096,166.176,3,0,3,12,1,3,35.53,1.5162999999999998
A102,EN300-24290,COc1ccc(C=O)c(Cl)c1,1.4,238.83299999999994,170.59499999999997,2,0,2,11,1,3,26.3,2.1611000000000002
A108,EN300-50279,CCCOc1cccc(C=O)c1,17.0,2791.468,164.20399999999998,2,0,4,12,1,2,26.3,2.2879000000000005
A113,EN300-54371,Cc1ccc(O)c(C=O)c1,0.49,66.7135,136.15,2,1,1,10,1,2,37.3,1.5131199999999998
A115,EN300-42078,O=Cc1cccc2c1OCO2,21.0,3152.792999999999,150.13299999999995,3,0,1,11,2,3,35.53,1.2277999999999998
A116,EN300-72982,O=Cc1ccnc2ccccc12,6.0,943.0319999999999,157.172,2,0,1,12,2,2,29.96,2.0473
A117,EN300-60104,O=Cc1cccc(OC(F)F)c1,17.0,2926.2099999999996,172.12999999999997,2,0,3,12,1,4,26.3,2.1005000000000003
A120,EN300-50297,O=Cc1cc(F)ccc1O,1.28,179.34464,140.113,2,1,1,10,1,3,37.3,1.3437999999999999
