ID,Catalog_ID,SMILES,PriceG,PriceMol,MW,HAcp,HDon,RotBnd,HvyAtm,Rings,HetAtm,tPSA,LogP
N1,EN300-16708,Nc1ncc(Br)cc1[N+](=O)[O-],0.46,100.2846,218.01,4,1,1,11,1,6,82.05,1.3345
N3,EN300-06825,N#CSc1ccc(N)c(Cl)c1,34.2,6315.064200000001,184.651,3,1,1,11,1,4,75.11,2.49538
N5,EN300-07654,Cc1nnc(N)o1,4.04,400.33572000000004,99.093,4,1,0,7,1,4,64.94,-0.03978000000000004
N7,EN300-13511,CC(=O)N1CCC(N)CC1,5.48,779.26696,142.202,2,1,0,10,1,3,46.33,-0.04400000000000004
N10,EN300-12362,Cc1nc2cc(N)ccc2o1,36.2,5363.572999999999,148.16499999999996,3,1,0,11,2,3,52.05,1.7184199999999998
N17,EN300-10016,CC(N)c1ccncc1,11.5,1404.9664999999995,122.17099999999996,2,1,1,9,1,2,38.91,1.1013000000000002
N21,EN300-25505,CS(=O)(=O)c1ccccc1N,9.8,1677.9658000000002,171.221,3,1,1,11,1,4,68.54,0.6723000000000002
N22,EN300-14407,COCCOCCCN,2.1,279.7011,133.191,3,1,6,9,0,3,44.480000000000004,-0.0017999999999999128
N30,EN300-23673,Nc1cc(-c2ccccc2)no1,24.1,3860.2416,160.176,3,1,1,12,2,3,52.05,1.9238
N32,EN300-28590,Nc1ccn(-c2ccccc2)n1,39.4,6272.1648000000005,159.192,2,1,1,12,2,3,43.84,1.4545
N33,EN300-28239,Nc1ccc(-n2cccn2)cc1,6.5,1034.748,159.192,2,1,1,12,2,3,43.84,1.4545
N48,EN300-41845,NC(=O)c1ccc(F)c(N)c1,14.5,2235.0879999999997,154.14399999999998,2,2,1,11,1,4,69.11,0.5068000000000001
N52,EN300-08665,N#CC1(N)CCCCC1,5.9,732.7033,124.187,2,1,0,9,1,2,49.81,1.1715800000000003
N53,EN300-50486,CCc1nc(N)sc1C,21.6,3072.1032000000005,142.227,3,1,1,9,1,3,67.14999999999999,1.59612
N54,EN300-09768,CC(N)c1ccccc1Cl,13.7,2132.1035999999995,155.62799999999996,1,1,1,10,1,2,26.02,2.3597
N59,EN300-11541,Nc1c(-c2ccccc2)nc2ccccn12,33.6,7030.8672,209.25199999999998,2,1,1,16,3,3,43.31999999999999,2.583500000000001
N64,EN300-13155,CC(C)N1CCC(N)CC1,6.8,967.2727999999998,142.24599999999998,2,1,1,10,1,2,29.259999999999998,0.8179
N76,EN300-07518,Cc1cc(N)[nH]n1,0.46,44.675660000000015,97.12100000000002,2,2,0,7,1,3,54.7,0.30031999999999986
N78,EN300-11876,Nc1cccc2cnccc12,0.71,102.36567,144.177,2,1,0,11,2,2,38.91,1.817
N79,EN300-17228,Nc1nncs1,0.46,46.52164,101.13399999999999,4,1,0,6,1,4,80.03999999999999,0.12029999999999985
N81,EN300-11875,Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1,24.4,6400.9496,262.334,3,2,3,18,2,5,80.57000000000001,2.3780200000000002
N82,EN300-02317,Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2.7,699.7022999999999,259.14899999999994,2,2,1,17,1,8,46.25,2.5809999999999995
N86,EN300-02142,Cc1ccc(S(=O)(=O)N(C)C)cc1N,26.6,5700.1140000000005,214.29,3,1,2,14,1,5,71.78,0.82752
N93,EN300-29544,Cc1cccc(C(N)=O)c1N,17.1,2568.0951000000005,150.181,2,2,1,11,1,3,69.11,0.6761200000000002
N95,EN300-02095,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,31.6,6612.363200000002,209.25200000000004,2,2,1,16,3,3,54.699999999999996,2.8121
N98,EN300-21249,CC(C)(C)CC(C)(C)N,0.46,59.453619999999994,129.24699999999999,1,1,1,9,0,1,26.02,2.1599000000000004
N101,EN300-19392,NCCO,0.46,28.09864,61.083999999999996,2,2,1,4,0,2,46.25,-1.0626000000000002
N102,EN300-20439,NCCc1ccccn1,1.14,139.27493999999996,122.17099999999996,2,1,2,9,1,2,38.91,0.5827999999999998
N109,EN300-51986,COc1ccc(CCCN)cc1,21.6,3569.0976,165.236,2,1,4,12,1,2,35.25,1.5865
N112,EN300-02381,Nc1ccc2[nH]c(=O)[nH]c2c1,0.46,68.61038,149.15300000000002,2,3,0,11,2,4,74.67,0.43840000000000007
N114,EN300-19438,CC(C)(C)c1ccc(N)cc1,0.46,68.64902000000001,149.237,1,1,0,11,1,1,26.02,2.5663
N116,EN300-20297,Cc1ccc(N)c(F)c1,0.46,57.56716000000001,125.14600000000002,1,1,0,9,1,2,26.02,1.71632
N120,EN300-02114,Nc1cccc(S(=O)(=O)N2CCOCC2)c1,34.2,8286.66,242.29999999999995,4,1,2,16,2,6,81.00999999999999,0.28969999999999985
N121,EN300-02200,Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,12.5,3028.7499999999995,242.29999999999995,4,1,2,16,2,6,81.00999999999999,0.28969999999999985
N122,EN300-33973,NC1CCC(O)CC1,2.03,233.80727999999996,115.17599999999999,2,2,0,8,1,2,46.25,0.24859999999999977
N125,EN300-20241,Nc1ccc(C(F)(F)F)cc1,0.46,74.11796000000002,161.12600000000003,1,1,0,11,1,4,26.02,2.2876000000000003
N128,EN300-02493,Nc1nc2c(F)cc(F)cc2s1,2.48,461.74127999999996,186.18599999999998,3,1,0,12,2,5,67.14999999999999,2.1567
N133,EN300-02935,Cc1sc(N)c(C#N)c1C,9.4,1430.8868000000002,152.222,3,1,0,10,1,3,78.05,1.8188199999999999
N136,EN300-52706,CCC(C)Oc1ccc(N)cc1,33.6,5551.929599999999,165.23599999999996,2,1,3,12,1,2,35.25,2.4461000000000004
N139,EN300-88613,Nc1ccc(Cl)cc1I,0.49,124.2003,253.47,1,1,0,9,1,3,26.02,2.5268000000000006
N141,EN300-02427,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,8.1,2011.1409,248.28900000000002,4,1,2,19,3,4,64.69,2.7878000000000007
N144,EN300-08123,Nc1nc(-c2ccc(F)c(F)c2)cs1,4.4,933.7856,212.224,3,1,1,14,2,5,67.14999999999999,2.6705000000000005
N146,EN300-34032,Cc1ccc(C(C)N)cc1,4.2,567.8820000000001,135.21,1,1,1,10,1,1,26.02,2.0147199999999996
N151,EN300-02352,Nc1n[nH]c2ccccc12,1.1,146.46939999999998,133.15399999999997,2,2,0,10,2,3,54.699999999999996,1.1451
N152,EN300-02259,Nc1nc2c(s1)CCCC2,14.0,2159.3319999999994,154.23799999999997,3,1,0,10,2,3,67.14999999999999,1.6041
N153,EN300-35694,Cc1cc2cc(N)ccc2[nH]1,2.0,292.386,146.193,1,2,0,11,2,2,41.81,2.05852
N158,EN300-05522,COC(=O)c1c(N)sc2c1CCCC2,1.28,270.44607999999994,211.28599999999994,4,1,1,14,2,4,80.56,1.9957
N159,EN300-53773,NCc1ccc(F)cc1Br,14.6,2979.0131999999994,204.04199999999997,1,1,1,10,1,3,26.02,2.0469
N160,EN300-08146,N#Cc1ccsc1N,0.86,106.78447999999999,124.16799999999999,3,1,0,8,1,3,78.05,1.20198
N166,EN300-02243,CCc1ccc(-c2csc(N)n2)cc1,20.1,4106.3898,204.29799999999997,3,1,2,14,2,3,67.15,2.9547000000000008
N167,EN300-52658,NCc1ccccc1-n1cccn1,29.0,5023.351,173.219,2,1,2,13,2,3,43.84,1.331
N169,EN300-04609,Cc1nc(N)c(Cl)cc1Cl,2.76,488.61384000000004,177.03400000000002,2,1,0,10,1,4,38.91,2.27902
N171,EN300-11760,CCN1CCN(c2ccc(N)cc2)CC1,2.45,502.99725,205.30499999999998,3,1,2,15,2,3,32.5,1.4107
N182,EN300-02445,Cc1ccc(-n2nc(C)cc2N)cc1,7.0,1310.7220000000002,187.24600000000004,2,1,1,14,2,3,43.84,2.07134
N184,EN300-42951,NC1CCCC(O)C1,3.62,416.93712,115.17599999999999,2,2,0,8,1,2,46.25,0.24859999999999977
N190,EN300-11797,Cc1nn(C)c(C)c1N,9.56,1196.673,125.175,2,1,0,9,1,3,43.84,0.6191399999999999
N192,EN300-02523,CN1C(=O)c2ccc(N)cc2C1=O,0.46,81.0405,176.17499999999998,3,1,0,13,2,4,63.4,0.49460000000000015
N193,EN300-21034,CCN1CCCC1CN,0.83,106.42177,128.219,2,1,2,9,1,2,29.259999999999998,0.4294000000000001
N198,EN300-09958,CC(C)C(=O)Nc1ccc(N)cc1,32.0,5703.5199999999995,178.23499999999999,2,2,2,13,1,3,55.120000000000005,1.8633
N199,EN300-02252,Nc1nc(-c2cccnc2)cs1,18.4,3261.0687999999996,177.232,4,1,1,12,2,4,80.03999999999999,1.7872999999999999
