ID,Catalog_ID,SMILES,PriceG,PriceMol,MW,HAcp,HDon,RotBnd,HvyAtm,Rings,HetAtm,tPSA,LogP
C1,EN300-56168,COc1cc(Cl)ccc1C(=O)O,0.54,100.76076,186.594,2,1,2,12,1,4,46.53,2.0468
C9,EN300-34142,O=C(O)COc1ccc(Cl)c(Cl)c1,9.0,1989.3509999999999,221.039,2,1,3,13,1,5,46.53,2.4568000000000003
C10,EN300-18554,O=C(O)c1ccc(NC(=O)C2CC2)cc1,30.2,6197.432599999999,205.21299999999997,2,2,3,15,2,4,66.4,1.7332999999999998
C12,EN300-13028,O=C(O)c1cc(-c2ccc(Br)cc2)n[nH]1,23.8,6356.551599999999,267.08199999999994,2,2,2,15,2,5,65.97999999999999,2.5374
C19,EN300-14731,O=C(O)c1ccc(-c2nnco2)cc1,34.2,6503.403600000001,190.158,4,1,2,14,2,5,76.22,1.4347999999999999
C31,EN300-11934,O=C(O)CN1CCCC1=O,18.5,2648.127,143.142,2,1,2,10,1,4,57.61,-0.3066000000000002
C38,EN300-14396,O=C(O)c1cnn(Cc2ccccc2)c1,30.4,6147.275200000001,202.21300000000005,2,1,3,15,2,4,55.12,1.6296
C39,EN300-26357,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,1.62,410.27634,253.25699999999998,2,1,2,19,3,4,59.3,2.2393
C43,EN300-24326,O=C(O)CCc1ccc2c(c1)OCO2,9.3,1805.9298,194.18599999999998,3,1,3,14,2,4,55.760000000000005,1.4325
C57,EN300-24320,O=C(O)CCc1cccc(F)c1,2.26,380.0574199999999,168.16699999999997,1,1,3,12,1,3,37.3,1.8429
C58,EN300-28968,Cc1ccc2[nH]c(C(=O)O)cc2c1,6.0,1051.122,175.187,1,2,1,13,2,3,53.09,2.1745200000000002
C77,EN300-66975,CN(C)CC(=O)O,0.69,71.15348999999998,103.12099999999998,2,1,2,7,0,3,40.540000000000006,-0.3674
C87,EN300-00693,O=C(O)c1cc(-c2cccnc2)nc2ccccc12,22.7,5680.8339,250.257,3,1,2,19,3,4,63.08,2.995000000000002
C95,EN300-11243,O=C(O)CCc1ccco1,4.5,630.6209999999999,140.13799999999998,2,1,3,10,1,3,50.44,1.2968000000000002
C102,EN300-11461,O=C([O-])CSc1ccc(F)cc1.[K+],6.4,1435.5007999999998,224.29699999999997,3,0,3,13,1,5,65.42999999999999,-2.3282999999999987
C104,EN300-11544,CC(c1ccccc1)N1CC(C(=O)O)CC1=O,32.0,7464.543999999998,233.26699999999994,2,1,3,17,2,4,57.61000000000001,1.6807
C127,EN300-21259,Cc1ccc(C(=O)O)s1,0.71,100.94709,142.179,2,1,1,9,1,3,65.53999999999999,1.75472
C129,EN300-51735,CN(C)CCN1CC(C(=O)O)CC1=O,6.7,1341.5946,200.23799999999997,3,1,4,14,1,5,60.85,-0.518899999999999
C133,EN300-00687,O=C(O)c1cc(-c2ccncc2)nc2ccccc12,17.9,4479.6003,250.257,3,1,2,19,3,4,63.08,2.995000000000002
C134,EN300-00001,COc1cc2ccccc2cc1C(=O)O,20.9,4226.168099999999,202.20899999999997,2,1,2,15,2,3,46.53,2.5466000000000006
C141,EN300-20709,CC(C)=CC(=O)O,0.46,46.053819999999995,100.11699999999999,1,1,1,7,0,2,37.3,1.0372000000000001
