ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A47C2N37,Cc1ccc(C2=N/C(=C\c3cccnc3)C(=O)N2c2ccccc2)c(Br)c1,281.11296,0.5631,Lipinski,45.56,3,4.987020000000003,418.294,0,3,111.55800000000002,27,27,4,22,5,1.769413112466138,True,6.6163463337101485,4.621789981609545,241.90991356596885,23889.6627239149,98.75437666757789,8.610902685810752
A17C39N37,O=C1/C(=C/c2ccc(F)cc2F)N=C(c2cccnc2)N1c1ccccc1,285.62664,0.6567,Lipinski,45.56,3,4.194300000000003,361.35100000000006,0,3,99.037,27,27,4,21,6,1.5786384387842778,True,6.881280451866816,5.127352887449663,131.4375781138067,7458.424752996566,56.74499530521329,8.635208016283968
A17C26N32,CC(=O)NCC1=N/C(=C\c2ccc(F)cc2F)C(=O)N1[C@H](C)c1cccc2ccccc12,450.65297,0.5982,Lipinski,61.77,5,4.596900000000004,433.45800000000014,1,3,119.6627,32,32,4,25,7,1.495486876469405,True,7.117225437515101,5.5054517576767354,76.34393876688121,3122.829277249,40.90474407909008,8.728999117353467
A94C10N1,O=C1/C(=C/c2cc(Cl)cc(Cl)c2)N=C(c2ccccc2)N1CCO,196.28418,0.8462,none,52.900000000000006,4,3.6156000000000046,361.2280000000001,1,3,96.21680000000002,24,24,3,18,6,1.3823701186599815,True,6.640348924658866,4.931899146023083,228.90278430831452,11697.710093937354,51.10339801800503,8.34879870329465
A45C3N42,CCOC(=O)C(C)N1C(=O)/C(=C/c2ccc(C)cc2F)N=C1c1cnc2ccccc2c1,842.9929900000002,0.447,Lipinski,71.86,5,4.2638200000000035,431.46700000000016,0,5,120.335,32,32,4,25,7,1.431374856023911,True,6.563298236214386,4.622906481091178,273.3391023060084,23828.32521943336,87.17495966880395,8.503689991337595
A34C8N36,COc1ccccc1N1C(=O)/C(=C/c2ccc[nH]2)N=C1c1cccc(Cl)c1,312.21750999999995,0.6798,Lipinski,57.69,4,4.511200000000003,377.8310000000002,1,3,107.2387,27,27,4,21,6,1.1771185306614416,True,7.928736042996823,5.656513296764881,11.783219205030711,2205.3966128796224,187.1641844648068,10.200958789228764
A34C9N34,O=C1/C(=C/c2ccc[nH]2)N=C(c2ccc[nH]2)N1c1cccc2ccccc12,316.07186999999993,0.5297,Lipinski,64.25,3,4.3305000000000025,352.39700000000005,2,2,107.5334,27,27,5,22,5,2.0810794191162394,True,9.230905193052656,5.304031401052169,0.5876176160798539,4965.564173384436,8450.332388792178,13.15777898505314
A89C24N55,C=C(C)/C=C1\N=C(c2c(F)cccc2Br)N(c2ccc(CO)cc2)C1=O,389.81167,0.7562,Lipinski,52.9,4,4.333900000000003,415.26200000000017,1,3,103.38480000000004,26,26,3,20,6,1.1479666140783251,True,6.779662586115146,4.984376688374835,166.08767816394882,10366.288984036544,62.414557772333666,8.574948483855458
A47C29N5,COC(=O)C(c1cccs1)N1C(=O)/C(=C/c2cccnc2)N=C1c1ccco1,6199.1832,0.4905,none,85.0,5,3.280300000000002,393.4240000000001,0,7,103.381,28,28,4,20,8,1.1202023749408252,True,6.394219043303675,4.276686839192988,403.44185934961024,52882.6440180438,131.07872371819835,8.511751247414363
A91C29N11,COc1ccc(N2C(=O)/C(=C/c3cnccn3)N=C2c2ccco2)cc1,1602.6300199999996,0.6786,none,80.82000000000001,4,2.912700000000001,346.34600000000006,0,6,95.734,26,26,4,19,7,1.3033523842622716,True,6.480766159700126,4.365108001250041,330.54747218177397,43141.177911326056,130.51431803901968,8.596424318150211
A17C12N34,CC1=N/C(=C\c2ccc(F)cc2F)C(=O)N1c1cccc2ccccc12,304.52494,0.6049,Lipinski,32.67,2,4.924100000000003,348.35200000000003,0,2,98.878,26,26,4,21,5,2.200201337990793,True,7.777252619001489,5.595359722975644,16.701188624083155,2538.8689076511378,152.01725845968127,9.959145515027334
A45C43N59,Cc1ccc(CN2C(=O)/C(=C/c3ccc(C)cc3F)N=C2C(F)(F)F)cc1,7371.767710000001,0.5602,Lipinski,32.67,3,4.786640000000004,376.353,0,2,94.33300000000004,27,27,3,20,7,1.825552849000026,True,7.765991688630854,6.397545909394293,17.13990108911133,400.3631435907212,23.35854457439458,9.134437467867414
